block_number,timestamp,total_supply
21179396,2024-11-13 18:33,10000000000000000
21182896,2024-11-14 06:17,10000000000000000
21186396,2024-11-14 18:01,10000000000000000
21189896,2024-11-15 05:45,10000000000000000
21193396,2024-11-15 17:29,10000000000000000
21196896,2024-11-16 05:13,10000000000000000
21200396,2024-11-16 16:55,10000000000000000
21203896,2024-11-17 04:38,10000000000000000
21207396,2024-11-17 16:22,10000000000000000
21210896,2024-11-18 04:04,10000000000000000
21214396,2024-11-18 15:46,10000000000000000
21217896,2024-11-19 03:29,10000000000000000
21221396,2024-11-19 15:11,10000000000000000
21224896,2024-11-20 02:54,10000000000000000
21228396,2024-11-20 14:36,10000000000000000
21231896,2024-11-21 02:21,10000000000000000
21235396,2024-11-21 14:05,10000000000000000
21238896,2024-11-22 01:48,10000000000000000
21242396,2024-11-22 13:32,10000000000000000
21245896,2024-11-23 01:16,10000000000000000
21249396,2024-11-23 12:58,10000000000000000
21252896,2024-11-24 00:42,10000000000000000
21256396,2024-11-24 12:24,10000000000000000
21259896,2024-11-25 00:08,10000000000000000
21263396,2024-11-25 11:51,10000000000000000
21266896,2024-11-25 23:36,10000000000000000
21270396,2024-11-26 11:21,10000000000000000
21273896,2024-11-26 23:04,10000000000000000
21277396,2024-11-27 10:47,10000000000000000
21280896,2024-11-27 22:32,10000000000000000
21284396,2024-11-28 10:23,10000000000000000
21287896,2024-11-28 22:09,10000000000000000
21291396,2024-11-29 09:54,10000000000000000
21294896,2024-11-29 21:40,10000000000000000
21298396,2024-11-30 09:26,10000000000000000
21301896,2024-11-30 21:10,10000000000000000
21305396,2024-12-01 08:53,10000000000000000
21308896,2024-12-01 20:36,10000000000000000
21312396,2024-12-02 08:19,10000000000000000
21315896,2024-12-02 20:04,10000000000000000
21319396,2024-12-03 07:49,10000000000000000
21322896,2024-12-03 19:33,10000000000000000
21326396,2024-12-04 07:17,10000000000000000
21329896,2024-12-04 19:01,10000000000000000
21333396,2024-12-05 06:44,10000000000000000
21336896,2024-12-05 18:29,10000000000000000
21340396,2024-12-06 06:12,10000000000000000
21343896,2024-12-06 17:57,10000000000000000
21347396,2024-12-07 05:40,10000000000000000
21350896,2024-12-07 17:24,10000000000000000
21354396,2024-12-08 05:10,10000000000000000
21357896,2024-12-08 16:53,10000000000000000
21361396,2024-12-09 04:36,10000000000000000
21364896,2024-12-09 16:18,10000000000000000
21368396,2024-12-10 04:01,10000000000000000
21371896,2024-12-10 15:46,10000000000000000
21375396,2024-12-11 03:29,10000000000000000
21378896,2024-12-11 15:14,10000000000000000
21382396,2024-12-12 02:58,10000000000000000
21385896,2024-12-12 14:41,10000000000000000
21389396,2024-12-13 02:25,10000000000000000
21392896,2024-12-13 14:08,10000000000000000
21396396,2024-12-14 01:52,7674614482829589789
21399896,2024-12-14 13:35,12595577281425942236
21403396,2024-12-15 01:19,43249397685140685700
21406896,2024-12-15 13:02,47354461267416599830
21410396,2024-12-16 00:47,47359734642290238779
21413896,2024-12-16 12:30,47359734642290238779
21417396,2024-12-17 00:13,67359734642290238779
21420896,2024-12-17 11:54,67359734642290238779
21424396,2024-12-17 23:38,67389734642290238779
21427896,2024-12-18 11:21,67389734642290238779
21431396,2024-12-18 23:07,67469734642290238779
21434896,2024-12-19 10:51,67469734642290238779
21438396,2024-12-19 22:36,78399734642290238779
21441896,2024-12-20 10:18,78689734642290238779
21445396,2024-12-20 22:03,81939734642290238779
21448896,2024-12-21 09:48,85939734642290238779
21452396,2024-12-21 21:31,85939734642290238779
21455896,2024-12-22 09:17,85939734642290238779
21459396,2024-12-22 21:01,85939734642290238779
21462896,2024-12-23 08:47,85939734642290238779
21466396,2024-12-23 20:32,85965008017163877728
21469896,2024-12-24 08:18,92025008017163877728
21473396,2024-12-24 20:03,113814013738015680685
21476896,2024-12-25 07:47,112383013738015680685
21480396,2024-12-25 19:30,116361836822170264527
21483896,2024-12-26 07:16,123361836822170264527
21487396,2024-12-26 19:00,123791836822170264527
21490896,2024-12-27 06:44,124051836822170264530
21494396,2024-12-27 18:28,124051836822170264530
21497896,2024-12-28 06:12,126527217962880694851
21501396,2024-12-28 17:55,126527217962880694851
21504896,2024-12-29 05:39,126527217962880694851
21508396,2024-12-29 17:22,126527217962880694851
21511896,2024-12-30 05:05,151527217962880694851
21515396,2024-12-30 16:49,152242629694352713762
21518896,2024-12-31 04:32,152242629694352713762
21522396,2024-12-31 16:16,153242629694352713762
21525896,2025-01-01 04:01,153242629694352713762
21529396,2025-01-01 15:44,155242629694352713762
21532896,2025-01-02 03:27,155242629694352713762
21536396,2025-01-02 15:10,156030391818964364351
21539896,2025-01-03 02:52,158025226669777202533
21543396,2025-01-03 14:35,156525226669777202533
21546896,2025-01-04 02:19,156525226669777202533
21550396,2025-01-04 14:04,156592528153106956900
21553896,2025-01-05 01:47,156592528153106956900
21557396,2025-01-05 13:31,156592528153106956900
21560896,2025-01-06 01:14,156592528153106956900
21564396,2025-01-06 13:01,157612528153106956900
21567896,2025-01-07 00:45,159662528153106956900
21571396,2025-01-07 12:27,243535777333013379999
21574896,2025-01-08 00:11,260535777333013379999
21578396,2025-01-08 11:55,260535777333013379999
21581896,2025-01-08 23:37,260535777333013379999
21585396,2025-01-09 11:21,261491933541780519584
21588896,2025-01-09 23:05,281491933541780519584
21592396,2025-01-10 10:49,283491933541780519584
21595896,2025-01-10 22:34,313301933541780519584
21599396,2025-01-11 10:17,314301933541780519584
21602896,2025-01-11 22:01,321211933541780519584
21606396,2025-01-12 09:44,324667147659029583295
21609896,2025-01-12 21:26,484128141938177780338
21613396,2025-01-13 09:11,484128141938177780338
21616896,2025-01-13 20:56,484128141938177780338
21620396,2025-01-14 08:40,509586811211662564395
21623896,2025-01-14 20:22,509586811211662564395
21627396,2025-01-15 08:07,509247811211662564392
21630896,2025-01-15 19:52,509247811211662564392
21634396,2025-01-16 07:35,509247811211662564392
21637896,2025-01-16 19:19,524257811211662564392
21641396,2025-01-17 07:01,504257811211662564392
21644896,2025-01-17 18:45,504657109702018206579
21648396,2025-01-18 06:30,549157109702018206579
21651896,2025-01-18 18:13,549157109702018206579
21655396,2025-01-19 05:56,548157109702018206579
21658896,2025-01-19 17:41,548157109702018206579
21662396,2025-01-20 05:24,541157109702018206579
21665896,2025-01-20 17:06,533287109702018206579
21669396,2025-01-21 04:50,532811728561307776258
21672896,2025-01-21 16:35,533121728561307776258
21676396,2025-01-22 04:18,533211728561307776258
21679896,2025-01-22 16:01,533211728561307776258
21683396,2025-01-23 03:44,534291112067896274017
21686896,2025-01-23 15:29,534291112067896274017
21690396,2025-01-24 03:11,530291112067896274017
21693896,2025-01-24 14:54,530291112067896274017
21697396,2025-01-25 02:37,530291112067896274017
21700896,2025-01-25 14:22,530291112067896274017
21704396,2025-01-26 02:05,530291112067896274017
21707896,2025-01-26 13:47,530291112067896274017
21711396,2025-01-27 01:33,530291112067896274017
21714896,2025-01-27 13:14,530291112067896274017
21718396,2025-01-28 00:57,523641728561307776258
21721896,2025-01-28 12:41,523641728561307776258
21725396,2025-01-29 00:25,493641728561307776258
21728896,2025-01-29 12:08,493643677431478885955
21732396,2025-01-29 23:52,493643677431478885955
21735896,2025-01-30 11:35,493646612771889810331
