block_number,timestamp,balance
22182588,2025-04-02 21:01:47,0
22186088,2025-04-03 08:45:47,0
22189588,2025-04-03 20:30:11,0
22193088,2025-04-04 08:12:47,0
22196588,2025-04-04 19:55:47,0
22200088,2025-04-05 07:39:59,0
22203588,2025-04-05 19:24:11,0
22207088,2025-04-06 07:08:11,0
22210588,2025-04-06 18:52:59,0
22214088,2025-04-07 06:37:11,0
22217588,2025-04-07 18:22:11,0
22221088,2025-04-08 06:07:11,0
22224588,2025-04-08 17:49:11,0
22228088,2025-04-09 05:32:47,0
22231588,2025-04-09 17:16:35,0
22235088,2025-04-10 04:59:11,0
22238588,2025-04-10 16:40:11,0
22242088,2025-04-11 04:23:35,0
22245588,2025-04-11 16:05:47,0
22249088,2025-04-12 03:48:23,0
22252588,2025-04-12 15:29:35,0
22256088,2025-04-13 03:12:47,0
22259588,2025-04-13 14:55:11,0
22263088,2025-04-14 02:37:35,0
22266588,2025-04-14 14:19:35,0
22270088,2025-04-15 02:03:47,0
22273588,2025-04-15 13:48:23,0
22277088,2025-04-16 01:32:11,0
22280588,2025-04-16 13:13:59,0
22284088,2025-04-17 00:57:23,0
22287588,2025-04-17 12:41:59,0
22291088,2025-04-18 00:25:11,0
22294588,2025-04-18 12:07:11,0
22298088,2025-04-18 23:51:35,0
22301588,2025-04-19 11:34:11,0
22301589,2025-04-19 11:34:23,0
22301590,2025-04-19 11:34:35,0
22301591,2025-04-19 11:34:47,0
