block_number,timestamp,total_borrowed,base_interest_rate,supply_rate,available_liquidity,expected_liquidity,total_supply,locked_lp_usd_balance,credit_manager_borrowed,credit_manager_debt_limit,credit_manager_borrowable,locked_lp_bnb_balance
44650147,2024-12-07 04:28:31,0,0,0,0,0,0,0.0,0,0,0,
44664147,2024-12-07 16:08:35,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44678147,2024-12-08 03:48:35,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44692147,2024-12-08 15:28:37,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44706147,2024-12-09 03:09:11,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44720147,2024-12-09 14:49:14,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44734147,2024-12-10 02:29:14,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44748147,2024-12-10 14:09:22,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44762147,2024-12-11 01:49:24,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44776147,2024-12-11 13:29:27,0,0,0,100000000000000000,100000000000000000,100000000000000000,0.0,0,0,0,
44790147,2024-12-12 01:09:28,0,0,0,1100000000000000000,1100000000000000000,1100000000000000000,0.0,0,0,0,
44804147,2024-12-12 12:49:32,0,0,0,84526568575491976192,84526568575491976192,84526568575491976192,0.0,0,0,0,
44818147,2024-12-13 00:29:40,0,0,0,238174353182943837711,238174353182943837711,238174353182943837711,0.0,0,0,0,
44832147,2024-12-13 12:09:40,0,0,0,365274453182943837711,365274453182943837711,365274453182943837711,0.0,0,0,0,
44846147,2024-12-13 23:50:10,0,0,0,365274453182943837711,365274453182943837711,365274453182943837711,0.0,0,0,0,
44860147,2024-12-14 11:30:19,0,0,0,365274453182943837711,365274453182943837711,365274453182943837711,0.0,0,0,0,
44874147,2024-12-14 23:10:20,0,0,0,365274453182943837711,365274453182943837711,365274453182943837711,0.0,0,0,0,
